Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,13-May-2026,1364.0,1361.4,1372.4,1352.4,1361.2,1358.8,1360.83,13797989,18776783797.9,253418,8419138,61.02
RELIANCE,EQ,14-May-2026,1358.8,1365.2,1378.0,1358.4,1368.5,1361.8,1365.93,17303059,23634693081.4,312686,8049788,46.52
RELIANCE,EQ,15-May-2026,1361.8,1356.8,1364.8,1329.2,1339.0,1336.4,1339.37,19976192,26755567751.4,276450,13447636,67.32
RELIANCE,EQ,18-May-2026,1336.4,1334.0,1342.0,1318.7,1335.0,1335.9,1333.44,13022473,17364734585.6,224065,7474197,57.39
RELIANCE,EQ,19-May-2026,1335.9,1338.7,1344.0,1318.4,1322.8,1322.7,1332.15,21665501,28861686347.3,339757,9343867,43.13
RELIANCE,EQ,20-May-2026,1322.7,1318.7,1362.9,1312.6,1360.3,1359.7,1345.23,13248515,17822310858.2,227919,6957215,52.51
RELIANCE,EQ,21-May-2026,1359.7,1367.2,1370.9,1345.2,1349.0,1349.6,1352.83,17150630,23201823031.7,275605,6676740,38.93
RELIANCE,EQ,22-May-2026,1349.6,1350.0,1367.4,1349.1,1358.0,1354.5,1357.24,7105813,9644325563.8,163887,4083826,57.47
RELIANCE,EQ,25-May-2026,1354.5,1366.8,1371.1,1357.0,1366.4,1367.0,1363.11,6750071,9201071110.9,139554,3921477,58.1
RELIANCE,EQ,26-May-2026,1367.0,1360.1,1368.5,1352.4,1357.0,1356.3,1359.22,13769747,18716137070.8,148444,5055467,36.71
RELIANCE,EQ,27-May-2026,1356.3,1353.0,1361.0,1348.6,1352.0,1350.5,1354.62,13215138,17901499784.8,230257,4698429,35.55
RELIANCE,EQ,29-May-2026,1350.5,1364.0,1369.0,1317.0,1321.9,1321.2,1330.58,42634247,56728419201.1,309971,31551860,74.01
RELIANCE,EQ,01-Jun-2026,1321.2,1332.5,1335.5,1318.5,1320.2,1320.0,1324.32,10700603,14170974474.5,212031,6460846,60.38
RELIANCE,EQ,02-Jun-2026,1320.0,1307.7,1327.8,1300.3,1321.0,1314.6,1313.43,23302785,30606599536.0,362323,9705177,41.65
RELIANCE,EQ,03-Jun-2026,1314.6,1315.0,1324.0,1301.0,1312.6,1313.2,1309.61,20012293,26208226472.8,380780,10865825,54.3
RELIANCE,EQ,04-Jun-2026,1313.2,1301.0,1311.2,1293.1,1308.0,1303.7,1303.16,23474327,30590735365.6,318716,9510596,40.51
RELIANCE,EQ,05-Jun-2026,1303.7,1304.5,1306.0,1288.0,1291.4,1291.0,1294.8,17785223,23028393410.0,356802,11637226,65.43
RELIANCE,EQ,08-Jun-2026,1291.0,1277.0,1282.6,1259.2,1262.8,1263.3,1271.9,16494759,20979689703.1,303591,9936414,60.24
RELIANCE,EQ,09-Jun-2026,1263.3,1269.0,1274.2,1257.5,1272.3,1269.2,1264.75,23620214,29873731086.3,273651,11824048,50.06
RELIANCE,EQ,10-Jun-2026,1269.2,1275.0,1300.5,1254.4,1258.7,1258.8,1274.15,21012796,26773474717.2,307301,9317948,44.34
RELIANCE,EQ,11-Jun-2026,1258.8,1258.0,1276.0,1253.2,1264.5,1263.0,1265.78,13117486,16603791532.6,208052,5212340,39.74
RELIANCE,EQ,12-Jun-2026,1263.0,1277.0,1297.0,1262.5,1296.4,1293.0,1277.16,11988785,15311601155.2,196811,6180742,51.55
